Sunshine,WindGustSpeed,Humidity3pm,Pressure9am,Pressure3pm,Rain Tomorrow
9.550808856509127,33.0,34.0,1021.7,1018.2,0
7.328263300656331,31.0,53.0,1020.4,1018.3,0
7.094311136882349,35.0,55.0,1018.6,1016.1,0
7.328263300656331,35.0,53.0,1015.3,1014.3,0
8.731976283300202,35.0,41.0,1012.5,1008.5,0
5.924550318012457,24.0,65.0,1018.6,1018.6,0
12.70916306745784,67.0,7.0,1010.5,1006.6,0
11.773354412361925,31.0,15.0,1017.9,1011.7,0
8.381048037639232,31.0,44.0,1023.8,1018.6,0
9.784761020283105,91.0,32.0,1003.8,1004.2,0
11.422426166700962,30.0,18.0,1016.5,1010.1,0
10.837545757266009,44.0,23.0,1017.3,1013.5,0
11.539402248587947,72.0,17.0,1010.7,1005.9,0
11.305450084813966,30.0,19.0,1020.2,1015.6,0
11.071497921039992,74.0,21.0,1002.6,1006.8,0
11.18847400292698,44.0,20.0,1009.9,1005.4,0
11.422426166700962,50.0,18.0,1004.2,1000.6,0
10.603593593492034,24.0,25.0,1012.1,1006.4,0
10.135689265944075,30.0,29.0,1015.1,1011.0,0
9.433832774622136,28.0,35.0,1015.1,1011.2,0
10.72056967537902,46.0,24.0,1015.5,1007.4,0
5.339669908577509,65.0,70.0,1007.7,1008.2,0
10.135689265944075,50.0,29.0,1002.0,1000.2,0
7.796167628204287,52.0,49.0,1000.3,997.9,0
6.392454645560415,31.0,61.0,1018.4,1015.9,0
7.328263300656331,37.0,53.0,1011.8,1008.8,0
10.369641429718053,52.0,27.0,1015.6,1010.5,0
11.422426166700962,35.0,18.0,1012.6,1008.6,0
11.422426166700962,80.0,18.0,1004.8,1000.8,0
7.562215464430307,26.0,51.0,1020.9,1013.4,0
5.456645990464501,20.0,69.0,1026.6,1022.6,0
11.305450084813966,43.0,19.0,1022.5,1018.1,0
9.08290452896117,22.0,38.0,1027.0,1022.1,0
10.954521839153,37.0,22.0,1005.6,1003.8,0
8.731976283300202,56.0,41.0,1010.8,1014.7,0
10.135689265944075,28.0,29.0,1022.7,1018.2,0
10.72056967537902,17.0,24.0,1016.5,1010.1,0
8.731976283300202,43.0,41.0,1021.8,1017.7,0
8.848952365187191,31.0,40.0,1019.9,1016.9,0
7.211287218769339,59.0,54.0,1007.0,1008.3,0
7.913143710091276,30.0,48.0,1019.6,1013.5,0
8.264071955752245,39.0,45.0,1022.7,1019.3,0
11.071497921039992,37.0,21.0,1021.3,1017.8,0
11.539402248587947,24.0,17.0,1023.3,1018.2,0
11.18847400292698,57.0,20.0,1012.2,1013.9,0
11.539402248587947,65.0,17.0,1005.0,1003.4,0
11.539402248587947,20.0,17.0,1016.3,1011.0,0
10.252665347831064,28.0,28.0,1021.5,1015.5,0
10.603593593492034,33.0,25.0,1028.2,1023.0,0
9.550808856509127,35.0,34.0,1026.0,1023.9,0
12.475210903683864,83.0,9.0,1005.0,1003.6,0
12.358234821796875,41.0,10.0,1019.0,1011.6,0
11.422426166700962,28.0,18.0,1022.6,1017.9,0
9.667784938396117,44.0,33.0,1014.6,1014.0,0
12.475210903683864,80.0,9.0,1002.6,996.7,0
11.071497921039992,35.0,21.0,1015.9,1008.4,0
9.433832774622136,31.0,35.0,1013.0,1011.3,0
